state,year,year_index,ipc_crimes,sll_crimes,total_crimes,growth_rate,avg_3yr_ipc,ipc_sll_ratio
Goa,2016,13,2692,1014,3706,-0.12426805465191933,3410.6666666666665,2.6548323471400392
Goa,2017,14,2965,978,3943,0.10141158989598811,2910.3333333333335,3.0316973415132926
Goa,2018,15,2740,1144,3884,-0.07588532883642496,2799.0,2.395104895104895
Goa,2019,16,2465,1262,3727,-0.10036496350364964,2723.3333333333335,1.9532488114104596
Goa,2020,17,3393,973,4366,0.3764705882352941,2866.0,3.487153134635149
Gujarat,2003,0,103709,160749,264458,0.0,103709.0,0.6451610896490803
Gujarat,2004,1,105469,167644,273113,0.01697056186059069,105469.0,0.6291248121018348
Gujarat,2005,2,113414,174336,287750,0.07533019180991571,107530.66666666667,0.6505483663729809
Gujarat,2006,3,120972,171085,292057,0.06664080272276791,113285.0,0.7070871204372096
Gujarat,2007,4,123195,194751,317946,0.018376153159408787,119193.66666666667,0.6325769829166474
Gujarat,2008,5,123808,200315,324123,0.004975851292666099,122658.33333333333,0.6180665451913236
Gujarat,2009,6,115183,213339,328522,-0.06966431894546395,120728.66666666667,0.5399059712476387
Gujarat,2010,7,116439,218751,335190,0.010904386932099355,118476.66666666667,0.5322901381022258
Gujarat,2011,8,123371,221212,344583,0.05953331787459528,118331.0,0.5577048261396308
Gujarat,2012,9,130121,232528,362649,0.05471302007765196,123310.33333333333,0.5595928232298906
Gujarat,2013,10,157435,255801,413236,0.20991231238616365,136975.66666666666,0.6154588918729794
Gujarat,2014,11,131385,290914,422299,-0.16546511258614666,139647.0,0.45162831627216293
Gujarat,2015,12,126935,307108,434043,-0.03386992426837158,138585.0,0.41332365161441575
Gujarat,2016,13,147122,288300,435422,0.15903415133729862,135147.33333333334,0.5103087062088103
Gujarat,2017,14,128775,206024,334799,-0.12470602629110535,134277.33333333334,0.6250485380344037
Gujarat,2018,15,147574,245620,393194,0.14598330421277422,141157.0,0.6008224085986483
Gujarat,2019,16,139503,291563,431066,-0.05469120576795371,138617.33333333334,0.47846606050836354
Gujarat,2020,17,381849,317770,699619,1.7372099524741405,222975.33333333334,1.2016521383390502
Haryana,2003,0,38612,27825,66437,0.0,38612.0,1.3876729559748429
Haryana,2004,1,39096,25167,64263,0.012534963223868227,39096.0,1.5534628680414828
Haryana,2005,2,42664,22600,65264,0.09126253325148352,40124.0,1.887787610619469
Haryana,2006,3,50509,22221,72730,0.18387867991749485,44089.666666666664,2.2730300166509156
Haryana,2007,4,51597,19526,71123,0.021540715516046645,48256.666666666664,2.6424766977363516
Haryana,2008,5,55344,23155,78499,0.07262050119192977,52483.333333333336,2.390153314618873
Haryana,2009,6,56229,23143,79372,0.015990893321769298,54390.0,2.4296331504126516
Haryana,2010,7,59120,21775,80895,0.051414750395703285,56897.666666666664,2.7150401836969
Haryana,2011,8,60741,22235,82976,0.027418809201623817,58696.666666666664,2.7317742298178547
Haryana,2012,9,62480,29733,92213,0.028629755848603087,60780.333333333336,2.101368849426563
Haryana,2013,10,72098,49145,121243,0.15393725992317542,65106.333333333336,1.4670464950656221
Haryana,2014,11,79947,35522,115469,0.10886571056062581,71508.33333333333,2.2506334102809524
Haryana,2015,12,84466,47523,131989,0.05652494777790286,78837.0,1.7773709572207141
Haryana,2016,13,88527,54584,143111,0.048078516799659035,84313.33333333333,1.6218488934486297
Haryana,2017,14,97924,126892,224816,0.10614840670078056,90305.66666666667,0.771711376603726
Haryana,2018,15,108212,83017,191229,0.10506106776683959,98221.0,1.3034920558439838
Haryana,2019,16,111323,55013,166336,0.028749122093667985,105819.66666666667,2.023576245614673
Haryana,2020,17,103276,89119,192395,-0.07228515221472652,107603.66666666667,1.1588550140822944
Himachal Pradesh,2003,0,12011,4420,16431,0.0,12011.0,2.717420814479638
Himachal Pradesh,2004,1,12326,4703,17029,0.026225959537091,12326.0,2.620880289177121
